Step,Site,State
132,Histone_8,C
132,Histone_9,M
133,Histone_1,P
133,Histone_10,U
133,Histone_2,P
133,Histone_3,C
133,Histone_4,C
133,Histone_5,U
133,Histone_6,C
133,Histone_7,C
133,Histone_8,C
133,Histone_9,M
134,Histone_1,P
134,Histone_10,U
134,Histone_2,P
134,Histone_3,C
134,Histone_4,C
134,Histone_5,U
134,Histone_6,C
134,Histone_7,C
134,Histone_8,C
134,Histone_9,M
135,Histone_1,P
135,Histone_10,U
135,Histone_2,P
135,Histone_3,C
135,Histone_4,C
135,Histone_5,P
135,Histone_6,C
135,Histone_7,C
135,Histone_8,C
135,Histone_9,M
136,Histone_1,P
136,Histone_10,U
136,Histone_2,U
136,Histone_3,C
136,Histone_4,C
136,Histone_5,P
136,Histone_6,C
136,Histone_7,C
136,Histone_8,C
136,Histone_9,M
137,Histone_1,P
137,Histone_10,U
137,Histone_2,U
137,Histone_3,C
137,Histone_4,C
137,Histone_5,U
137,Histone_6,C
137,Histone_7,C
137,Histone_8,C
137,Histone_9,M
138,Histone_1,P
138,Histone_10,U
138,Histone_2,U
138,Histone_3,C
138,Histone_4,C
138,Histone_5,U
138,Histone_6,U
138,Histone_7,C
138,Histone_8,C
138,Histone_9,M
139,Histone_1,P
139,Histone_10,U
139,Histone_2,A
139,Histone_3,C
139,Histone_4,C
