Step,Site,State
106,Histone_4,M
106,Histone_5,M
106,Histone_6,M
106,Histone_7,M
106,Histone_8,M
106,Histone_9,U
107,Histone_1,M
107,Histone_10,M
107,Histone_2,M
107,Histone_3,M
107,Histone_4,M
107,Histone_5,M
107,Histone_6,M
107,Histone_7,M
107,Histone_8,M
107,Histone_9,U
108,Histone_1,M
108,Histone_10,M
108,Histone_2,M
108,Histone_3,M
108,Histone_4,M
108,Histone_5,M
108,Histone_6,M
108,Histone_7,M
108,Histone_8,M
108,Histone_9,U
109,Histone_1,M
109,Histone_10,M
109,Histone_2,M
109,Histone_3,M
109,Histone_4,M
109,Histone_5,M
109,Histone_6,M
109,Histone_7,M
109,Histone_8,M
109,Histone_9,U
110,Histone_1,M
110,Histone_10,M
110,Histone_2,M
110,Histone_3,M
110,Histone_4,M
110,Histone_5,M
110,Histone_6,M
110,Histone_7,M
110,Histone_8,M
110,Histone_9,U
111,Histone_1,M
111,Histone_10,M
111,Histone_2,M
111,Histone_3,M
111,Histone_4,M
111,Histone_5,M
111,Histone_6,M
111,Histone_7,M
111,Histone_8,M
111,Histone_9,U
112,Histone_1,M
112,Histone_10,M
112,Histone_2,U
112,Histone_3,M
112,Histone_4,M
112,Histone_5,M
112,Histone_6,M
112,Histone_7,M
112,Histone_8,M
112,Histone_9,U
113,Histone_1,M
113,Histone_10,M
113,Histone_2,M
113,Histone_3,M
113,Histone_4,M
113,Histone_5,M
113,Histone_6,M
113,Histone_7,M
113,Histone_8,M
113,Histone_9,U
114,Histone_1,M
114,Histone_10,M
114,Histone_2,M
114,Histone_3,M
114,Histone_4,M
114,Histone_5,U
114,Histone_6,M
114,Histone_7,M
114,Histone_8,U
114,Histone_9,U
115,Histone_1,M
115,Histone_10,M
115,Histone_2,M
115,Histone_3,M
115,Histone_4,M
115,Histone_5,M
115,Histone_6,M
115,Histone_7,M
115,Histone_8,U
115,Histone_9,U
116,Histone_1,M
116,Histone_10,M
116,Histone_2,M
116,Histone_3,M
116,Histone_4,M
116,Histone_5,M
116,Histone_6,M
116,Histone_7,M
116,Histone_8,U
116,Histone_9,U
117,Histone_1,M
117,Histone_10,M
117,Histone_2,M
117,Histone_3,U
117,Histone_4,M
117,Histone_5,M
117,Histone_6,M
117,Histone_7,M
117,Histone_8,U
117,Histone_9,U
118,Histone_1,M
118,Histone_10,M
118,Histone_2,M
118,Histone_3,M
118,Histone_4,M
118,Histone_5,M
118,Histone_6,M
118,Histone_7,M
118,Histone_8,U
118,Histone_9,M
119,Histone_1,M
119,Histone_10,M
119,Histone_2,M
119,Histone_3,M
119,Histone_4,M
119,Histone_5,M
119,Histone_6,M
119,Histone_7,M
119,Histone_8,M
119,Histone_9,M
120,Histone_1,M
120,Histone_10,M
120,Histone_2,M
120,Histone_3,M
120,Histone_4,M
120,Histone_5,M
120,Histone_6,M
120,Histone_7,M
120,Histone_8,M
120,Histone_9,M
121,Histone_1,M
121,Histone_10,M
121,Histone_2,M
121,Histone_3,M
121,Histone_4,M
121,Histone_5,M
121,Histone_6,M
121,Histone_7,M
121,Histone_8,U
121,Histone_9,M
122,Histone_1,M
122,Histone_10,M
122,Histone_2,M
122,Histone_3,M
122,Histone_4,M
122,Histone_5,M
122,Histone_6,M
122,Histone_7,M
122,Histone_8,M
122,Histone_9,M
123,Histone_1,M
123,Histone_10,M
123,Histone_2,M
123,Histone_3,M
123,Histone_4,M
123,Histone_5,M
123,Histone_6,M
123,Histone_7,U
123,Histone_8,M
123,Histone_9,M
124,Histone_1,M
124,Histone_10,M
124,Histone_2,M
124,Histone_3,M
124,Histone_4,M
124,Histone_5,M
124,Histone_6,U
124,Histone_7,M
124,Histone_8,M
124,Histone_9,M
125,Histone_1,M
125,Histone_10,M
125,Histone_2,M
125,Histone_3,M
125,Histone_4,M
125,Histone_5,M
125,Histone_6,M
125,Histone_7,M
125,Histone_8,M
125,Histone_9,M
126,Histone_1,M
126,Histone_10,U
126,Histone_2,M
126,Histone_3,M
126,Histone_4,M
